Time (s),W,X,Y,Z
0.009990215,0.6671112,-0.2025736,-0.6912887,0.1807601
0.029814243,0.6617309,-0.2017678,-0.6982206,0.1746923
0.049637318,0.6512831,-0.2169935,-0.7014806,0.1824742
0.069460869,0.6538838,-0.2130615,-0.7012874,0.1785057
0.089284897,0.6440245,-0.2193558,-0.7080868,0.179878
0.109107971,0.6419538,-0.2163404,-0.7123179,0.1741342
0.128931522,0.6404836,-0.2210751,-0.7115743,0.1766243
0.148755550,0.6341894,-0.2225442,-0.7188039,0.1680068
0.168575287,0.6297131,-0.2118435,-0.7306884,0.1459655
0.188398361,0.621051,-0.2208188,-0.7351318,0.1474573
0.208222389,0.6122031,-0.2282061,-0.7403129,0.1472879
0.228045940,0.5816971,-0.2368535,-0.7627369,0.1427893
0.247869015,0.3159729,-0.2497308,-0.9103087,0.07586805
0.270170689,-0.03855181,-0.2682875,-0.9606958,-0.0149271
0.289994717,-0.04834548,-0.2688873,-0.9601954,-0.003702777
0.309817791,-0.05892501,-0.2613865,-0.959393,0.06631509
0.329641342,-0.06205276,-0.2517069,-0.9556625,0.1270018
0.349465370,-0.08558783,-0.2459764,-0.9463165,0.1824344
0.369285107,-0.09343567,-0.2500695,-0.9507987,0.1460972
0.389108181,-0.08990078,-0.2551945,-0.9526455,0.1260464
0.408931732,-0.09138809,-0.2515885,-0.949006,0.156099
0.428755760,-0.0918685,-0.2547484,-0.9531043,0.1219976
0.448578835,-0.09323017,-0.2503694,-0.951975,0.1378204
0.468402386,-0.09872863,-0.2488425,-0.9518819,0.1373986
0.488226414,-0.07796273,-0.2508895,-0.9536839,0.1345026
0.508049488,-0.08963044,-0.2490539,-0.9501089,0.1544645
0.527873039,-0.08132513,-0.2533239,-0.9557129,0.1115966
0.550175190,-0.09741463,-0.2488252,-0.9515831,0.1404056
0.569993973,-0.08848155,-0.2532184,-0.9562217,0.1015811
0.589818001,-0.07949326,-0.2580376,-0.9602005,0.04171579
0.609641552,-0.0720515,-0.2582749,-0.9614512,0.01849199
0.629465580,-0.06248308,-0.2599489,-0.9617044,-0.01656868
0.649288654,-0.1240913,-0.2577962,-0.9553591,-0.04537001
0.669112206,-0.40218,-0.2044913,-0.8814122,-0.1271593
0.688936234,-0.668538,-0.1423152,-0.7073106,-0.1706974
0.708759308,-0.6990272,-0.16119,-0.6648358,-0.1999994
0.728582859,-0.6941829,-0.1509222,-0.6770248,-0.1832964
0.748406887,-0.692701,-0.1385911,-0.6850515,-0.1681957
0.768225670,-0.6925815,-0.1503797,-0.6801303,-0.1782336
0.788049698,-0.6919208,-0.148432,-0.6822492,-0.1742903
0.807873249,-0.6887423,-0.1549689,-0.6839212,-0.1746373
0.830175400,-0.6849924,-0.1556142,-0.6881015,-0.1723762
0.849998474,-0.6847644,-0.1563273,-0.6894149,-0.1673139
0.869822025,-0.6860058,-0.1625878,-0.6863091,-0.1690227
0.889646053,-0.6848092,-0.1609814,-0.6886978,-0.1656635
0.909469128,-0.6834426,-0.1617514,-0.6904507,-0.1632432
0.929292679,-0.6826132,-0.1717936,-0.6866837,-0.1721022
0.949116707,-0.6784297,-0.1880048,-0.682638,-0.1871372
0.968935490,-0.6813656,-0.1728328,-0.6882889,-0.1695755
0.988759518,-0.6769355,-0.1730195,-0.6934838,-0.1659233
1.008583069,-0.6785896,-0.1901338,-0.6832274,-0.1821904
1.028407097,-0.6752469,-0.1989682,-0.6834695,-0.1842559
1.048230171,-0.680091,-0.1937725,-0.6816003,-0.1788217
1.068053722,-0.7041736,-0.1841242,-0.6582993,-0.1830492
1.087877750,-0.8672986,-0.1039668,-0.4122514,-0.2523003
1.110178947,-0.9586188,-0.01382693,-0.0833556,-0.2655865
1.130002499,-0.957785,0.006799858,-0.1014162,-0.26257
1.149826527,-0.9540449,0.07360873,-0.1223467,-0.2569804
1.169645309,-0.9429301,0.1311004,-0.1587444,-0.2551911
1.189469338,-0.9379511,0.1927013,-0.1443315,-0.2427085
1.209292889,-0.9471714,0.1486065,-0.1222806,-0.2499144
1.229115963,-0.9470785,0.1448183,-0.1253372,-0.2509746
1.248939991,-0.945215,0.160859,-0.1243184,-0.2487275
1.268763542,-0.9486092,0.1363392,-0.1199174,-0.2525858
1.288587570,-0.9456275,0.1551196,-0.1181893,-0.2537428
1.308410645,-0.9469857,0.1464202,-0.1138388,-0.2558271
1.328234196,-0.9460981,0.1410394,-0.1272281,-0.2558259
1.348058224,-0.9436588,0.1597624,-0.1284684,-0.2531947
1.367877007,-0.9480203,0.1386843,-0.1147964,-0.255878
1.390179157,-0.9432881,0.1767127,-0.114154,-0.2501528
1.410002709,-0.9509128,0.1243593,-0.1032365,-0.2574281
1.429825783,-0.9585351,0.05280449,-0.07257745,-0.2641633
