Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.550175190,43.31,32.584
1.548768044,43.244,32.584
2.549838066,43.316,32.584
3.548430920,43.25,32.582
4.549500942,43.26,32.58
5.548384667,43.276,32.58
6.549454212,43.276,32.578
7.548046112,43.242,32.576
8.549115181,43.246,32.574
9.550184727,43.192,32.572
10.548774719,43.208,32.57
