Time (s),W,X,Y,Z
0.007875443,-0.9910729,0.06429825,-0.001143387,-0.1013244
0.027699471,-0.9910822,0.06429309,-0.00112949,-0.1012372
0.047523022,-0.9910955,0.06432032,-0.001130388,-0.1010892
0.067347050,-0.991106,0.06440274,-0.001120171,-0.1009337
0.087170601,-0.9911199,0.06440587,-0.001095599,-0.1007958
0.106995106,-0.9911313,0.06438436,-0.001079026,-0.1006969
0.126819134,-0.9911267,0.06438766,-0.001075738,-0.1007403
0.146642685,-0.9911177,0.06438189,-0.001100985,-0.100832
0.166462421,-0.991116,0.06434152,-0.001119716,-0.1008739
0.186286449,-0.9911265,0.06431111,-0.001120517,-0.1007896
0.206110954,-0.9911347,0.06431567,-0.001125237,-0.1007066
0.228412628,-0.9911454,0.06434304,-0.001108722,-0.1005839
0.248236179,-0.9911515,0.06431354,-0.001094381,-0.1005432
0.268060207,-0.9911391,0.06433021,-0.001098413,-0.1006556
0.287883759,-0.9911118,0.06435788,-0.001134556,-0.1009053
0.307708263,-0.9910862,0.06443989,-0.001167983,-0.1011037
0.327532291,-0.9910825,0.0644571,-0.00114985,-0.1011291
0.347355843,-0.991075,0.06441849,-0.001146528,-0.1012284
0.367175579,-0.9910764,0.06435437,-0.001146832,-0.1012554
0.386999607,-0.9910856,0.06440613,-0.001158232,-0.1011305
0.406824112,-0.9910995,0.06433677,-0.001123135,-0.1010389
0.426647663,-0.991097,0.06431518,-0.00111567,-0.1010782
0.446471214,-0.9910908,0.06434531,-0.001103381,-0.101119
0.466295242,-0.9910259,0.06387641,-0.002012105,-0.102035
0.486118794,-0.9908241,0.06348994,-0.004676312,-0.1041272
0.508421421,-0.9905254,0.06182119,-0.008509909,-0.1076703
0.528244972,-0.9903124,0.06092739,-0.01553403,-0.1093417
0.548069000,-0.9896859,0.06536092,-0.0209679,-0.1115254
0.567888737,-0.9889268,0.07312088,-0.02671661,-0.1122096
0.587712288,-0.9878463,0.084672,-0.03225309,-0.1121511
0.607536793,-0.9879651,0.08327392,-0.03282663,-0.1119842
0.627360821,-0.985894,0.101715,-0.0393303,-0.1129067
0.647184372,-0.9850965,0.1079795,-0.0403737,-0.11368
0.667008400,-0.9831166,0.119062,-0.04968655,-0.1160378
0.686831951,-0.980566,0.1344495,-0.05391991,-0.1188862
0.706656456,-0.9799575,0.143645,-0.04321528,-0.1175141
0.726480484,-0.9826199,0.1264243,-0.03775851,-0.1169485
0.746304035,-0.9804823,0.1282922,-0.06412125,-0.1212908
0.766123772,-0.9797661,0.1425189,-0.04946071,-0.1180164
0.785947800,-0.9775819,0.1543356,-0.05466503,-0.1189691
0.808249951,-0.9789447,0.1369808,-0.06584806,-0.1232679
0.828073979,-0.9767555,0.1563088,-0.05810618,-0.1215217
0.847897530,-0.9784946,0.1463263,-0.05225791,-0.1226113
0.867721558,-0.9801582,0.1257301,-0.06614409,-0.125436
0.887545109,-0.9773036,0.1502569,-0.05925273,-0.1241665
0.907369614,-0.9803293,0.1312416,-0.04949577,-0.1261265
0.927193165,-0.9771488,0.148981,-0.06003673,-0.1265219
0.947017193,-0.97979,0.1381438,-0.04842454,-0.1233304
