Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1313384,0.07955734,-0.05351043,0.02033225,-0.04740342,0.9870355,-41.95329,22.58133,-21.17937,882.576
0.020017147,-0.2379418,0.07941324,-0.1145408,0.0247364,-0.05029831,0.9846091,-41.95329,22.58133,-21.17937,882.576
0.040034294,0.008615986,-0.09779699,-0.05350946,0.0203452,-0.05518525,0.9816568,-42.69251,22.59444,-21.18594,882.5726
0.060051441,0.00853648,-0.03849231,0.2513194,0.02278489,-0.06099224,0.9893458,-42.69251,22.59444,-21.18594,882.5726
0.080069065,0.008457139,0.02062657,0.007349924,0.02032546,-0.04545381,0.9913996,-42.32636,22.95507,-21.1817,882.5707
0.100086212,0.1313871,-0.1565287,0.007274025,0.0193504,-0.04303489,0.9875517,-42.32636,22.95507,-21.1817,882.5707
0.120103359,-0.1147681,-0.0384251,-0.2366376,0.02325825,-0.04640904,0.9918836,-42.32636,22.95507,-21.1817,882.5707
0.140120506,0.1315771,-0.1563914,-0.1146708,0.0183745,-0.0488671,0.9903992,-42.32407,22.95669,-21.61706,882.5707
0.160138607,0.008508079,-0.03828819,0.0683841,0.02033473,-0.0522605,0.9884446,-42.32407,22.95669,-21.61706,882.569
0.180155754,0.008776575,-0.09721415,0.06832723,0.02325954,-0.04592513,0.9904383,-42.32001,22.2819,-21.18345,882.569
0.200172901,0.07008538,0.1390814,0.1290334,0.02522015,-0.05174607,0.9899129,-42.32001,22.2819,-21.18345,882.5671
0.220190048,-0.05298383,-0.09720811,-0.05388549,0.01984361,-0.04886246,0.9879881,-42.32001,22.2819,-21.18345,882.5671
0.240207672,-0.05285086,0.1390689,0.00705101,0.0213161,-0.05080346,0.9841115,-42.31772,22.28352,-21.61882,882.5654
0.260224819,0.1319503,0.02080521,-0.2366497,0.0188742,-0.05761477,0.9874296,-42.31772,22.28352,-21.61882,882.5654
0.280241966,-0.1759232,0.07990484,0.1291722,0.01936284,-0.05615573,0.986477,-42.31772,22.28352,-21.61882,882.5654
0.300259113,-0.1760806,0.3162006,0.007169076,0.01982566,-0.04253105,0.998669,-42.31772,22.28352,-21.61882,882.5654
0.320276737,0.5627448,0.07991125,0.06829657,0.02179182,-0.03962094,0.9871043,-42.31772,22.28352,-21.61882,882.5637
0.340293884,0.3165695,0.02065122,0.007381305,0.02376105,-0.04884988,0.9817195,-42.31197,21.91796,-22.05514,882.5637
0.360311031,-0.5453667,-0.03842276,-0.1754042,0.03011392,-0.05366849,0.9860467,-42.31197,21.91796,-22.05514,882.5654
0.380328655,-0.3613001,-0.2744707,0.007554421,0.02765921,-0.04493143,0.9890104,-41.94871,22.58458,-22.0501,882.5654
0.400345802,0.5012119,0.2570285,0.1903216,0.02569903,-0.04687769,0.9947857,-41.94871,22.58458,-22.0501,882.567
0.420362949,0.7478273,0.07994708,0.1899968,0.02133546,-0.05810735,0.9729395,-41.95329,22.58133,-21.17937,882.567
0.440380097,-0.299338,-0.03850219,0.1897876,0.01691,-0.05421672,0.9927661,-41.95329,22.58133,-21.17937,882.5651
0.460398197,-0.9769343,-0.0381828,-0.05419965,0.008597163,-0.04697587,0.9908686,-41.95329,22.58133,-21.17937,882.5651
0.480415344,-1.161621,-33.64267,-0.1759125,1.632871,-0.05928594,0.4758182,-42.32061,22.58951,-21.61802,882.5618
0.500432014,-59.89232,-23.42542,4.3347,-0.1306075,0.06800064,-0.001396573,-42.32061,22.58951,-21.61802,882.5618
0.520449161,-52.87419,6.281368,2.993707,-0.3392048,-0.08986378,0.8566117,-42.34554,23.31111,-18.19539,882.5618
0.540467262,-73.55922,-40.90695,5.736647,0.8186168,-0.2933227,0.6294109,-42.34554,23.31111,-18.19539,882.5618
0.560484409,-74.7289,-0.9829166,4.700425,1.286987,-0.3224117,0.9479836,-42.34554,23.31111,-18.19539,882.5651
0.580501556,-132.2283,-107.8211,19.63421,1.884201,-1.464486,0.569289,-37.66374,22.13597,-4.597483,882.5651
0.600518703,-36.25229,103.5519,-0.9683173,1.465326,-0.05545646,0.3883859,-37.66374,22.13597,-4.597483,882.5651
0.620536327,-109.3886,-56.67576,-0.2368667,2.4284,-0.001423147,2.656566,-27.24353,20.06503,8.67607,882.5651
0.640553474,-124.5946,-128.9052,3.603249,1.137819,-0.2069157,1.777032,-27.24353,20.06503,8.67607,882.5651
0.660570621,-187.6962,-68.42856,7.748136,1.359202,0.2384714,1.476058,-27.24353,20.06503,8.67607,882.5651
0.680587768,-12.5507,428.2005,40.35864,0.3935129,0.4595487,-0.01445376,-21.85518,20.31538,14.26052,882.5634
0.700605392,127.4426,-109.0022,-3.040761,0.6704456,0.3048396,1.924316,-21.85518,20.31538,14.26052,882.5634
0.720622539,-156.0531,-96.48169,-9.623816,1.430889,-1.197967,1.821398,-17.76888,11.98572,13.46603,882.5634
0.740639687,-196.4381,141.8813,27.07062,0.2092464,-1.992721,-2.391463,-17.76888,11.98572,13.46603,882.5634
0.760656834,68.03472,-97.48569,-1.638814,0.4619051,-0.4189572,1.481444,-17.76888,11.98572,13.46603,882.5651
0.780674457,-113.3287,-107.4667,-17.73073,0.2792271,-0.8228945,2.089171,-24.90223,35.47599,16.01564,882.5651
0.800691605,212.8299,162.9064,-1.638814,-0.1114177,-0.9622809,-0.1958702,-24.90223,35.47599,16.01564,882.5651
0.820708752,73.94473,-75.57472,-0.8464089,0.3078052,-1.164612,0.4786243,-11.12526,31.25609,15.69194,882.5651
0.840725899,-143.8637,-79.11828,-2.918852,2.934945,-0.8721702,3.124812,-11.12526,31.25609,15.69194,882.5651
0.860743999,1.300882,90.55888,11.71016,0.06477341,-0.6372128,2.27558,-11.12526,31.25609,15.69194,882.5651
0.880761147,86.99599,-132.744,-0.6025921,-1.043925,1.21616,1.09817,-18.99817,23.1324,16.40836,882.5651
0.900778294,169.6745,99.59494,-25.10619,-0.04633075,1.453685,3.803743,-18.99817,23.1324,16.40836,882.5651
0.920795917,237.3318,247.7155,9.3939,-0.9164429,0.1152246,-1.773497,-11.82432,34.51808,13.95291,882.5651
0.940813065,227.2356,79.16045,10.73489,-0.2592469,-0.9300308,1.218027,-11.82432,34.51808,13.95291,882.5651
0.960830212,127.9967,47.03223,-1.821676,1.399124,0.6746446,2.95522,-11.82432,34.51808,13.95291,882.567
0.980847359,284.3041,-73.68483,5.919509,0.1701292,0.8202647,0.988874,-18.26842,26.0081,13.0639,882.567
1.000864983,305.851,48.3906,13.47783,0.08223657,0.1686551,0.9735512,-18.26842,26.0081,13.0639,882.567
1.020882130,264.2347,1313.853,-110.0154,10.50253,6.553092,10.10695,-14.77372,41.73905,11.39586,882.567
