Time (s),Humidity (%)
0.020017147,21.96094
1.020882130,21.72754
2.021747112,22.47461
3.020109653,21.15625
4.020973206,20.89941
5.021836758,20.93359
6.020197868,18.8916
7.021060944,19.96484
8.021923065,20.06934
9.020282745,19.91699
10.021144390,19.29785
11.022005558,18.98242
12.020364761,18.1875
13.021224976,18.74707
14.022084713,17.94043
15.020441532,18.81543
16.021300316,18.0791
17.022158146,17.90332
18.020514011,17.83301
19.021370411,18.27539
20.019724369,19.2666
21.020580292,17.5498
22.021435261,18.94922
23.019786835,18.43457
24.020640373,18.35156
25.021493435,17.66211
26.019843102,17.73145
27.020694733,18.29102
28.021545410,18.0332
29.019893646,18.13672
