Time (s),W,X,Y,Z
0.000000000,0.2359137,0.01631013,-0.02194811,0.9696518
0.020017147,0.2359249,0.01631018,-0.02196737,0.9696487
0.040034294,0.2358924,0.0163181,-0.02201504,0.9696553
0.060051441,0.2358579,0.01633525,-0.02206259,0.9696624
0.080069065,0.2358574,0.01633982,-0.02205412,0.9696626
0.100086212,0.2358963,0.01634211,-0.02199741,0.9696544
0.120103359,0.2359296,0.01633779,-0.02197398,0.9696469
0.140120506,0.2359544,0.01633736,-0.02195773,0.9696412
0.160138607,0.2359652,0.01634116,-0.021978,0.969638
0.180155754,0.2359672,0.01635795,-0.02200275,0.9696369
0.200172901,0.2359467,0.01635916,-0.02199335,0.9696419
0.220190048,0.2359128,0.0163602,-0.02198592,0.9696503
0.240207672,0.2358736,0.01635685,-0.02201135,0.9696594
0.260224819,0.2358185,0.01634078,-0.02203493,0.9696725
0.280241966,0.2357803,0.01633003,-0.02204622,0.9696817
0.300259113,0.2357507,0.0163117,-0.02201984,0.9696898
0.320276737,0.2357071,0.01630165,-0.02199529,0.9697011
0.340293884,0.2356419,0.01630777,-0.02196859,0.9697175
0.360311031,0.2355722,0.01632981,-0.02194487,0.9697345
0.380328655,0.235547,0.01635448,-0.02187159,0.9697419
0.400345802,0.2355535,0.0163647,-0.0219559,0.9697382
0.420362949,0.235576,0.01639012,-0.02201278,0.9697311
0.440380097,0.2356018,0.0163465,-0.02199567,0.969726
0.460398197,0.2356195,0.01633308,-0.02197536,0.9697224
0.480415344,0.2360195,0.01840372,-0.02071531,0.9696158
0.500432014,0.2372557,0.01879824,-0.0196395,0.9693288
0.520449161,0.2383093,0.02847738,-0.02698167,0.9686576
0.540467262,0.2397143,0.03848935,-0.03191499,0.9678144
0.560484409,0.2409763,0.04944163,-0.0380143,0.9667826
0.580501556,0.2419977,0.06307166,-0.05051793,0.9651605
0.600518703,0.2413681,0.0598143,-0.05876312,0.9650587
0.620536327,0.2415889,0.06889207,-0.07120883,0.9635589
0.640553474,0.2421074,0.0824787,-0.08491968,0.9612479
0.660570621,0.2401059,0.09877175,-0.1022877,0.9585188
0.680587768,0.2396832,0.07347976,-0.1218651,0.9586079
0.700605392,0.2380564,0.05523531,-0.1283988,0.959385
0.720622539,0.2389973,0.07542067,-0.1290846,0.957683
0.740639687,0.2366747,0.06604149,-0.1433886,0.9569174
0.760656834,0.2377837,0.05474835,-0.1451045,0.9570965
0.780674457,0.240955,0.07145473,-0.1384841,0.9561824
0.800691605,0.2398904,0.06677195,-0.1531649,0.9545482
0.820708752,0.24135,0.05787775,-0.1390897,0.9569128
0.840725899,0.2459099,0.07666637,-0.1199845,0.9570172
0.860743999,0.2446938,0.05246505,-0.1368501,0.9566985
0.880761147,0.2463107,0.04957014,-0.1184649,0.9588886
0.900778294,0.2482092,0.06669468,-0.1170736,0.9575308
0.920795917,0.2450582,0.02715436,-0.1311885,0.9584498
0.940813065,0.2498542,0.02112808,-0.08903834,0.9621987
0.960830212,0.253864,0.0205107,-0.04830036,0.964068
0.980847359,0.2568236,0.01012565,-0.02901401,0.9642225
1.000864983,0.2598182,0.001852508,-0.004976949,0.9638951
1.020882130,0.2545105,-0.07368534,0.02682751,0.9621333
1.040899277,0.2066012,-0.3862889,-0.06413368,0.8947659
1.060916424,0.1406671,-0.6605042,-0.148048,0.7201741
1.080934048,0.1225462,-0.7015898,-0.161254,0.6807194
1.100951195,0.1399318,-0.691508,-0.170332,0.6854563
1.120968342,0.1497156,-0.6975873,-0.1863585,0.6729453
1.140985489,0.1399835,-0.6935764,-0.1772818,0.6815827
1.161003590,0.1486015,-0.7015086,-0.1851702,0.6694347
1.181020737,0.1515954,-0.6966285,-0.19396,0.6713679
1.201037884,0.1547834,-0.7108741,-0.2070619,0.6515004
1.221055031,0.1412352,-0.7052205,-0.1901066,0.6657355
1.241072655,0.1434525,-0.7176162,-0.199414,0.649084
1.261089802,0.1331737,-0.7193076,-0.1917966,0.6516924
1.281106949,0.1266632,-0.7304683,-0.1903641,0.6409069
1.301124096,0.1268828,-0.7308621,-0.1941703,0.6392706
1.321141720,0.1295078,-0.7233821,-0.1925911,0.6476746
1.341158867,0.1246668,-0.7266395,-0.1906149,0.6455593
1.361176014,0.1304833,-0.7465319,-0.2090455,0.6152983
1.381193161,0.1287129,-0.735366,-0.2047506,0.6303766
1.401210785,0.1188802,-0.7567725,-0.2109992,0.6043758
1.421227932,0.107909,-0.7574468,-0.2073223,0.6068567
1.441245079,0.09065751,-0.7592002,-0.1999858,0.6099423
1.461263180,0.08174365,-0.7730797,-0.2001597,0.5934889
1.481280327,-0.01766498,-0.9024176,-0.2303607,0.3590074
1.501297474,-0.1111658,-0.9563513,-0.2617735,0.03363435
1.521314144,-0.1306351,-0.9466727,-0.2546139,-0.1361786
1.541332245,-0.08529197,-0.9528997,-0.2495399,-0.1380735
1.561349392,-0.04162099,-0.9572261,-0.2402329,-0.1445738
1.581366539,0.01254467,-0.9617758,-0.2296859,-0.1367532
1.601383686,0.02994995,-0.9586107,-0.2232345,-0.1642017
1.621401310,0.009523462,-0.9553173,-0.2264436,-0.1806353
1.641418457,0.01563295,-0.9589766,-0.2240933,-0.1628788
1.661435604,0.02264792,-0.9558383,-0.2207455,-0.1837371
1.681452751,0.01594025,-0.9579155,-0.2183047,-0.1763928
1.701470375,0.03564671,-0.9574569,-0.2098849,-0.1859612
1.721487522,0.02782542,-0.9571306,-0.2143165,-0.1839095
1.741504669,0.04814184,-0.9622496,-0.2096361,-0.156327
1.761521816,0.0357395,-0.954601,-0.2088945,-0.201122
1.781539440,0.02582427,-0.9571844,-0.2076952,-0.1913675
1.801556587,0.04183051,-0.9615557,-0.2013731,-0.172445
1.821573734,0.0009575665,-0.9534151,-0.2072508,-0.2113607
1.841590881,-0.05692979,-0.9524202,-0.2159861,-0.1990783
1.861608982,-0.08096462,-0.951719,-0.2155929,-0.1944812
1.881626129,-0.1006412,-0.9520206,-0.2166821,-0.1822209
1.901643276,-0.1358184,-0.9476197,-0.2193268,-0.1791469
1.921660423,-0.2133763,-0.8769305,-0.2147759,-0.3687231
1.941678047,-0.2424907,-0.6918525,-0.192452,-0.6497099
1.961695194,-0.2538325,-0.5125287,-0.147845,-0.8047688
1.981712341,-0.2433719,-0.5275274,-0.1421548,-0.799315
2.001729488,-0.2323953,-0.5400027,-0.1321493,-0.7959608
2.021747112,-0.2287704,-0.5376736,-0.1300322,-0.7989308
2.041764259,-0.2321141,-0.5375251,-0.1328765,-0.7975972
2.061781406,-0.2222207,-0.5461625,-0.1272912,-0.7954553
2.081798553,-0.2117492,-0.5545902,-0.1193097,-0.7937158
2.101816177,-0.2075779,-0.5463117,-0.1141395,-0.8012831
2.121833324,-0.2189574,-0.5459954,-0.1359128,-0.7950485
2.141850472,-0.2042916,-0.5491434,-0.1200688,-0.7993233
2.161867619,-0.2093554,-0.5379937,-0.1271855,-0.8044776
2.181885719,-0.2120366,-0.5433875,-0.139537,-0.7980773
2.201902866,-0.2146096,-0.5470847,-0.144392,-0.7939896
2.221920013,-0.205773,-0.5437404,-0.1301549,-0.8010563
2.241936684,-0.1997587,-0.5432661,-0.1272218,-0.8033683
2.261954784,-0.1955911,-0.5491788,-0.1295695,-0.7999913
2.281971932,-0.1926232,-0.539535,-0.1277585,-0.8075293
2.301989079,-0.1885657,-0.5435535,-0.1301556,-0.8054065
2.322006226,-0.1947424,-0.5371417,-0.1449198,-0.8057171
2.342023850,-0.2007519,-0.5460955,-0.1660123,-0.7940693
2.362040997,-0.2247257,-0.4237252,-0.1563393,-0.861473
2.382058144,-0.2034177,-0.1059251,-0.1132891,-0.9649813
2.402075291,-0.1830586,0.1983564,-0.0316572,-0.9606081
2.422092915,-0.1844344,0.1939982,-0.01218674,-0.9616797
2.442110062,-0.2062418,0.1581143,0.05408896,-0.9623751
2.462127209,-0.2104021,0.1627968,0.07687842,-0.9591379
2.482144356,-0.2259387,0.1209908,0.1311832,-0.955893
2.502162456,-0.2181107,0.1726173,0.1374826,-0.9488716
2.522179127,-0.2182862,0.1652062,0.1251101,-0.9518577
