Time (s),Power (dBm),Percentage (%)
0.021595001,-60,80
0.521443367,-60,80
1.021680832,-61,78
1.521554947,-69,62
2.021749020,-62,76
2.521563053,-63,74
3.021723270,-60,80
3.521414757,-71,58
4.021587849,-69,62
4.521577835,-65,70
5.021718025,-62,76
5.521449566,-62,76
6.021585464,-67,66
6.521418572,-71,58
7.021697998,-71,58
7.521513462,-69,62
8.021651745,-61,78
8.521539211,-65,70
9.021587849,-67,66
9.521368981,-63,74
10.021678925,-71,58
10.521463394,-63,74
11.021605492,-71,58
11.521324158,-62,76
12.021554947,-65,70
12.521471977,-71,58
13.021599770,-69,62
13.521410942,-67,66
14.021596432,-59,82
14.521315098,-71,58
15.021478176,-59,82
15.521464348,-59,82
16.021570206,-65,70
16.521423340,-62,76
17.021464825,-65,70
17.521296024,-62,76
18.021497726,-67,66
18.521433830,-65,70
19.021540165,-62,76
19.521259308,-65,70
20.021400929,-59,82
20.521265984,-73,54
21.021425247,-77,46
21.521367073,-64,72
22.021516323,-69,62
22.521245957,-67,66
23.021384239,-71,58
23.521357060,-67,66
24.021372795,-60,80
24.521335602,-65,70
25.021490574,-67,66
25.521204949,-62,76
26.021358490,-62,76
26.521351338,-71,58
27.021320820,-75,50
27.521290302,-65,70
28.021327496,-59,82
28.521155834,-62,76
29.021468163,-65,70
29.521284104,-60,80
