Time (s),Humidity (%)
0.020018578,19.56836
1.018429279,19.07715
2.019342422,18.50293
3.020254612,17.21289
4.018664360,18.11523
5.019576073,17.54004
6.017984390,17.69238
7.018894672,17.17578
8.019803524,16.01465
9.018210888,16.45996
10.019119263,17.56055
11.020026207,16.39941
12.018430233,15.80176
13.019336700,16.31641
14.017739773,15.88184
15.018643856,16.83008
16.019547462,17.14551
17.017948627,17.25
18.018850803,16.39355
19.019752026,16.22852
20.018150330,15.34863
21.019049168,16.8584
22.019947529,15.88574
23.018342495,16.00195
24.019239903,16.25781
25.017632484,16.33887
26.018527508,15.50684
27.019421577,16.69922
28.017811775,16.48828
29.018703461,14.98828
