Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.849278450,7.796875,17.53125,3.535,257.5,0
1.904215336,7.785156,17.71875,3.5325,272.1875,0
2.959033966,7.773438,17.71875,3.53125,267.1875,0
4.013669014,7.773438,17.71875,3.5325,269.375,0
4.892775536,7.761719,17.71875,3.535,271.25,0
5.947489262,7.761719,17.625,3.5325,278.75,0
7.002395630,7.75,17.4375,3.534375,270,0
7.881374359,7.738281,17.4375,3.530625,255.625,0
8.936186790,7.738281,17.625,3.53125,268.4375,0
9.990936756,7.726563,17.625,3.53125,261.875,0
10.869843483,7.726563,17.625,3.5325,265,0
11.924734116,7.714844,17.625,3.5325,300.9375,0
12.979546547,7.699219,17.53125,3.53125,277.5,0
13.858396054,7.699219,17.53125,3.53125,277.1875,0
14.913154602,7.6875,17.53125,3.53375,262.1875,0
15.967928886,7.675781,17.53125,3.53375,260.625,0
16.847040653,7.675781,17.53125,3.531875,254.0625,0
17.902046680,7.664063,17.53125,3.530625,263.75,0
18.956647396,7.664063,17.53125,3.530625,262.8125,0
20.011444569,7.652344,17.53125,3.529375,277.1875,0
20.890414238,7.652344,17.625,3.52875,267.1875,0
21.945049763,7.640625,17.625,3.53125,263.75,0
23.000033379,7.628906,17.625,3.531875,266.875,0
23.878988266,7.628906,17.53125,3.53125,268.75,0
24.933684826,7.617188,17.53125,3.53125,267.5,0
25.988628864,7.617188,17.34375,3.525625,272.1875,0
26.867592335,7.601563,17.34375,3.53125,290,0
27.922319889,7.589844,17.4375,3.53375,266.5625,0
28.977021694,7.589844,17.34375,3.53375,280.3125,0
