Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.397828579,72.41016,121.03125,3.81,267.1875,0
1.276624203,72.39844,121.3125,3.8075,262.1875,0
2.331765175,72.38672,121.40625,3.808125,278.4375,0
3.386306763,72.375,121.59375,3.81,260.625,0
4.441066265,72.36328,121.5,3.808125,255.625,0
5.319907188,72.36328,121.6875,3.808125,267.1875,0
6.374725819,72.34766,121.59375,3.8075,256.875,0
7.429576874,72.33594,121.6875,3.808125,259.375,0
8.308502197,72.32422,121.6875,3.80875,260.3125,0
9.363855362,72.3125,121.5,3.806875,279.0625,0
10.418177605,72.3125,121.59375,3.805625,261.875,0
11.297195435,72.30078,121.40625,3.801875,258.75,0
12.351817131,72.28906,121.40625,3.806875,276.5625,0
13.406826496,72.27734,121.3125,3.80625,273.4375,0
14.285701752,72.26563,120.84375,3.809375,266.5625,0
15.340397835,72.26563,121.125,3.808125,262.5,0
16.395182610,72.25,121.125,3.808125,257.5,0
17.274233341,72.23828,121.40625,3.809375,260.9375,0
18.328982353,72.22656,120.75,3.808125,266.5625,0
19.384184837,72.21484,121.125,3.81,259.0625,0
20.439145088,72.20313,121.125,3.80875,260.625,0
21.317820549,72.20313,121.21875,3.8075,269.375,0
22.372533798,72.19141,121.40625,3.80625,256.875,0
23.427429676,72.17969,121.40625,3.806875,278.4375,0
24.306313515,72.16797,121.5,3.80625,261.5625,0
25.361020565,72.16797,121.3125,3.808125,278.75,0
26.415754318,72.15234,121.03125,3.80625,310.625,0
27.294764996,72.14063,121.03125,3.805,272.5,0
28.349617004,72.12891,121.03125,3.80625,270.9375,0
29.404238224,72.11719,121.03125,3.80625,262.5,0
