Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.861748219,-73.43999,34.26749,14.25351,-0.6768698,1.77158,-5.250727,-0.927,2.579749,2.936878,882.6721
0.881570816,-120.1467,-26.88346,11.80613,-0.1136746,-1.846797,-0.06145675,-0.927,2.579749,2.936878,882.6721
0.901392937,394.1248,-90.56764,30.22269,0.2229698,-1.445965,0.4711089,-6.322325,36.76487,7.098719,882.6721
0.921216011,-144.5587,125.8172,-16.09405,-0.7341045,1.561511,-6.20061,-6.322325,36.76487,7.098719,882.6721
0.941038609,-356.2333,113.3867,1.160006,-0.2008901,-1.310771,-0.6197744,-6.322325,36.76487,7.098719,882.6703
0.960861206,-276.5829,-30.4182,-8.078869,1.238308,0.4421563,4.152634,-5.592264,36.02018,6.661931,882.6703
0.980683327,-85.45918,-14.15841,-9.180191,-0.6269676,0.8243914,-3.169397,-5.592264,36.02018,6.661931,882.6703
1.000505924,-145.2437,160.2809,5.626482,0.8679653,-1.06868,-0.1353041,-9.369066,27.71587,12.73736,882.6703
1.020328999,401.2242,772.9687,22.51343,4.955853,-5.415973,0.2501568,-9.369066,27.71587,12.73736,882.6703
1.040147305,-234.6091,1930.065,-191.2044,10.45752,-4.499097,-15.72882,-9.369066,27.71587,12.73736,882.6703
1.059969902,-52.76451,1930.124,79.29274,-8.955357,1.355206,-15.68568,-25.06518,25.78918,43.46187,882.66
1.079792500,-115.476,-187.8318,33.58784,0.2669954,-0.5343923,0.02491242,-25.06518,25.78918,43.46187,882.66
1.102092743,-138.9539,-88.97701,-4.346607,1.694001,1.259434,3.006842,6.028248,32.20918,11.54461,882.6617
1.121915817,147.14,-73.12961,-7.099914,-0.3020821,1.05789,-0.9544858,6.028248,32.20918,11.54461,882.6617
1.141738415,-87.14062,155.5679,-10.70981,0.17974,0.1105801,-1.109038,6.028248,32.20918,11.54461,882.6617
1.161561012,-81.41127,-93.63108,0.05868353,0.05130509,0.5646958,-2.035009,29.42887,23.17916,-12.72232,882.6617
1.181383133,15.17811,113.5045,-7.528206,-0.351604,-0.8141328,-2.216602,29.42887,23.17916,-12.72232,882.665
1.201205730,-17.70338,-44.02694,-7.772944,0.09644053,0.5379248,-0.9073671,23.8595,30.94693,-9.763888,882.665
1.221028805,62.44525,80.69037,-5.019638,-0.09830709,0.1259713,-1.276963,23.8595,30.94693,-9.763888,882.6686
1.240847111,53.47757,-40.0209,7.706758,0.01699735,-0.7709255,-1.081108,23.8595,30.94693,-9.763888,882.6686
1.260669708,36.97455,-30.65385,1.404745,-0.3566504,0.5807508,-0.3891536,22.51041,31.75331,-5.207091,882.6686
1.280492306,-167.9743,-41.96501,5.07582,0.3910981,0.3988839,-0.790684,22.51041,31.75331,-5.207091,882.6686
1.300315380,77.64048,52.94268,-2.939362,0.2661146,-0.3645131,-1.725404,34.51166,26.93693,-26.33716,882.6703
1.320137501,-164.3,-225.0644,24.53252,-0.4883432,0.8963556,1.108962,34.51166,26.93693,-26.33716,882.6703
1.339960098,68.4237,143.6676,4.831082,-0.2348379,-0.7999834,-2.33372,34.51166,26.93693,-26.33716,882.6703
1.359782696,132.5052,-111.2459,-1.165008,0.9631914,-0.4581076,-1.072372,10.5912,20.27286,-0.5332165,882.6703
1.382082939,-93.11907,-39.84417,18.84235,0.124806,0.09657088,-0.7147977,10.5912,20.27286,-0.5332165,882.6721
