Time (s),Power (dBm),Percentage (%)
0.443651676,-37,100
0.943647861,-49,100
1.443758965,-49,100
1.943500519,-53,94
2.443558693,-41,100
2.943365574,-39,100
3.443474770,-43,100
3.943535805,-49,100
4.443571568,-45,100
4.943346024,-53,94
5.443478108,-41,100
5.943510532,-49,100
6.443636417,-45,100
6.943261623,-49,100
7.443440437,-45,100
7.943192482,-43,100
8.443639279,-47,100
8.943239212,-51,98
9.443420410,-45,100
9.943221569,-45,100
10.443569183,-45,100
10.943416119,-37,100
11.443489552,-47,100
11.943150520,-45,100
12.443315506,-45,100
12.943354130,-51,98
13.443526745,-45,100
13.943349361,-51,98
14.443323612,-47,100
14.943229675,-43,100
15.443499088,-45,100
15.943300247,-41,100
16.443439484,-47,100
16.943098545,-47,100
17.443437576,-47,100
17.943238735,-45,100
18.443210602,-47,100
18.943000317,-43,100
19.443514824,-41,100
19.943508625,-45,100
20.443640232,-44,100
20.943420410,-51,98
21.443448544,-43,100
21.943239212,-47,100
22.443555832,-51,98
22.943450928,-47,100
23.443550587,-43,100
23.943205833,-43,100
24.443465710,-49,100
24.943389416,-45,100
25.443440914,-43,100
25.943104744,-47,100
26.443329811,-51,98
26.943268299,-41,100
27.443458557,-51,98
27.943140984,-43,100
28.443219662,-57,86
28.943053722,-51,98
29.443381786,-39,100
29.943121433,-47,100
