Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.860763073,42.234,32.354
1.861649990,42.2,32.354
2.860034466,42.182,32.352
3.860920429,42.184,32.35
4.861805916,42.174,32.348
5.860188961,42.18,32.346
6.861073017,42.174,32.344
7.861957550,42.098,32.34
8.860339165,42.076,32.338
9.861222267,42.118,32.334
10.859602451,42.116,32.332
