Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.749473572,6.210938,14.34375,3.52125,273.4375,0
1.804411888,6.210938,14.34375,3.521875,262.5,0
2.858994484,6.199219,14.25,3.5225,261.875,0
3.737905979,6.1875,14.34375,3.520625,257.1875,0
4.792670727,6.1875,14.15625,3.519375,295.9375,0
5.847489834,6.175781,14.25,3.519375,263.75,0
6.726757049,6.175781,14.15625,3.5225,286.875,0
7.781376839,6.164063,14.15625,3.521875,270.625,0
8.836017609,6.152344,14.0625,3.52125,269.0625,0
9.715179920,6.152344,13.96875,3.521875,262.8125,0
10.769959927,6.136719,13.96875,3.5225,268.125,0
