Time (s),Power (dBm),Percentage (%)
0.363298893,-65,70
0.863459110,-63,74
1.363440037,-71,58
1.863545418,-67,66
2.363415718,-69,62
2.863409996,-65,70
3.363229275,-65,70
3.863578320,-69,62
4.363372326,-63,74
4.863391876,-69,62
5.363213539,-64,72
5.863437653,-59,82
6.363297463,-67,66
6.863527298,-69,62
7.363376618,-69,62
7.863479614,-69,62
8.363236427,-65,70
8.863363743,-65,70
9.363352776,-61,78
9.863496304,-69,62
10.363310337,-71,58
10.863461971,-60,80
11.363151550,-69,62
