Time (s),W,X,Y,Z
2.081845284,0.1539431,-0.9622251,-0.1960328,-0.09286083
2.101862907,0.1331259,-0.9656578,-0.1973904,-0.08629762
2.121880055,0.1505634,-0.9641245,-0.1917369,-0.08751555
2.141898155,0.1516649,-0.9616834,-0.1929246,-0.1075661
2.161915779,0.1360929,-0.9666332,-0.1932298,-0.07992753
2.181933403,0.1583867,-0.9615561,-0.1924191,-0.09962916
2.201951504,0.1329128,-0.9652014,-0.1943707,-0.09781624
2.221969128,0.1738715,-0.9603806,-0.1842385,-0.1006053
2.241986752,0.1259725,-0.9654537,-0.1931549,-0.1065307
2.262004852,0.02909444,-0.9719164,-0.2039979,-0.09769458
2.282022476,0.02140974,-0.9735142,-0.2001971,-0.09143598
2.302040100,-0.01255081,-0.9735851,-0.2039241,-0.08376726
2.322058201,-0.04792273,-0.9694394,-0.2003508,-0.119906
2.339573383,-0.1092608,-0.9009308,-0.1719054,-0.3787565
2.359591007,-0.1513334,-0.731066,-0.1076029,-0.6539762
2.379608631,-0.1751239,-0.6756113,-0.1123575,-0.7049002
2.399626732,-0.1617195,-0.6855024,-0.1036383,-0.6998715
2.419644356,-0.1499272,-0.6868919,-0.09484108,-0.7023776
2.439661980,-0.15827,-0.6870608,-0.107467,-0.6985533
2.459680081,-0.1562494,-0.685474,-0.1056968,-0.7008333
2.479697228,-0.1332439,-0.6935769,-0.08713254,-0.7001662
2.499714851,-0.1289235,-0.6918306,-0.08570109,-0.7028741
2.519732952,-0.1481065,-0.6863865,-0.1106393,-0.7009456
2.539750576,-0.149943,-0.6878139,-0.1112805,-0.6990519
2.559768200,-0.1458543,-0.6840495,-0.1128742,-0.703342
2.579786301,-0.1343929,-0.6795022,-0.1030656,-0.7114917
2.599803925,-0.1440848,-0.6854813,-0.1169168,-0.7016503
2.619821549,-0.1416676,-0.690541,-0.1211319,-0.6964468
2.639839649,-0.1232809,-0.6885596,-0.1033565,-0.7047216
2.659857273,-0.1174407,-0.6829093,-0.09915342,-0.7117856
2.679874420,-0.1200971,-0.6841829,-0.1085,-0.7087494
2.699892044,-0.1262616,-0.6808657,-0.1224968,-0.7085916
2.719910145,-0.1239963,-0.6840177,-0.1285028,-0.7048824
2.739927769,-0.1256016,-0.6630343,-0.1193617,-0.7259406
2.759945393,-0.1714259,-0.408121,-0.07764003,-0.8914286
2.779963493,-0.1950775,-0.0986842,0.008635555,-0.9740399
2.799981117,-0.1948595,-0.02212168,0.02382374,-0.9785706
2.819998741,-0.197899,-0.04523541,0.07951183,-0.9742148
2.840016842,-0.1997909,-0.04519013,0.1315178,-0.9681798
2.860034466,-0.2005746,-0.07421822,0.1930634,-0.9558324
2.880052090,-0.1974805,-0.05642673,0.1956351,-0.9571688
2.900069237,-0.1964496,-0.03892915,0.1725267,-0.9626808
2.920087337,-0.1960698,-0.05527784,0.2049224,-0.9555812
2.940104961,-0.1955611,-0.04970337,0.1942949,-0.958208
2.960123062,-0.1981569,-0.06030765,0.2061925,-0.9545726
2.980140686,-0.1983398,-0.04213936,0.2148318,-0.953604
3.000158310,-0.2004203,-0.05085671,0.178897,-0.9601399
3.020176411,-0.1977465,-0.0485893,0.2134644,-0.9537275
3.040194035,-0.1990876,-0.04510522,0.191229,-0.9583259
3.060211658,-0.2003448,-0.04953153,0.2297611,-0.9493397
3.080228806,-0.1999556,-0.03070515,0.1874801,-0.9594548
3.100246906,-0.199372,-0.009882327,0.1044264,-0.9725614
3.120264530,-0.203129,-0.009762892,0.08453545,-0.973717
3.140282154,-0.204405,-0.0001783206,0.04883009,-0.9759414
3.160300255,-0.2040751,0.04182925,0.02986553,-0.9758786
3.180317879,-0.1945555,0.3427562,0.08219702,-0.9135274
3.200335503,-0.1763109,0.6263461,0.1534038,-0.741414
3.220353603,-0.1542258,0.6575818,0.1438615,-0.7209246
3.240371227,-0.1700284,0.6532306,0.1574567,-0.7184811
3.260388851,-0.166704,0.6600195,0.1628577,-0.711821
3.280405998,-0.1550113,0.66477,0.150937,-0.7126696
3.300424099,-0.1673297,0.6637372,0.160895,-0.7086567
3.320441723,-0.1717288,0.663929,0.1728552,-0.7045966
3.340459347,-0.17055,0.6800413,0.1836641,-0.6865505
3.360477448,-0.1475847,0.6811907,0.16027,-0.6965193
3.380495071,-0.1500537,0.6783412,0.1610321,-0.6985938
3.400513172,-0.1467167,0.6933526,0.1663893,-0.6831389
3.420530796,-0.1472536,0.6976465,0.1755709,-0.6763197
3.440548420,-0.1339429,0.7020698,0.1678389,-0.6764724
3.460565567,-0.1374762,0.6903919,0.1610018,-0.6893224
3.480583668,-0.1544014,0.7005375,0.1852295,-0.6691226
3.500601292,-0.1511158,0.708247,0.1921425,-0.6597416
3.520618916,-0.1342933,0.7195932,0.1804135,-0.6543924
3.540637016,-0.1231744,0.7242357,0.1762375,-0.6525937
3.560654640,-0.1195766,0.7254432,0.1779763,-0.6514489
3.580672264,-0.1140792,0.771169,0.1902349,-0.5939029
3.600690365,-0.04217927,0.9284275,0.2012209,-0.3039337
3.620707989,0.002065904,0.9790051,0.194282,0.02057209
3.640725136,0.01168444,0.9775701,0.1946433,0.05442337
3.660742760,-0.07473508,0.9765511,0.1839885,0.05948248
3.680760861,-0.1050086,0.9744713,0.1783285,0.06484768
3.700778485,-0.1905674,0.9637263,0.1654721,0.06451552
3.720796108,-0.1492948,0.9675439,0.1727181,0.09146463
3.740814209,-0.1482139,0.9687136,0.1704234,0.08491272
3.760831833,-0.1559716,0.9671659,0.1700945,0.08920982
3.780849457,-0.1406949,0.9697788,0.1706654,0.08505832
3.800867557,-0.1604279,0.9675553,0.1634343,0.0895332
3.820884705,-0.1677604,0.9654512,0.1637915,0.09777676
3.840902328,-0.1557467,0.9696262,0.1648261,0.07090239
3.860920429,-0.1713124,0.9650925,0.1650011,0.09301031
3.880938053,-0.1370644,0.9703401,0.1660822,0.09326167
3.900955677,-0.1753625,0.9635468,0.1593242,0.1098593
3.920973778,-0.1219513,0.9709671,0.16733,0.1047794
3.940991402,-0.04306293,0.9770876,0.1736473,0.09959706
3.961009026,-0.0316726,0.9786794,0.1709062,0.09274808
3.981027126,0.0128614,0.9789446,0.1753219,0.0859768
4.001044273,0.0506553,0.9691179,0.1701698,0.1609704
4.021061897,0.1113409,0.862188,0.133696,0.4722107
4.041079521,0.1379709,0.6793407,0.07569157,0.7143931
4.061097622,0.1485938,0.6742566,0.09267642,0.7150782
4.081115246,0.1336097,0.679166,0.07960612,0.7149633
4.101132870,0.1331976,0.6775653,0.07848869,0.7166805
4.121150970,0.1346919,0.683118,0.08191228,0.7107221
4.141168594,0.1256616,0.686104,0.08028645,0.7096846
4.161185741,0.1179247,0.6899491,0.07874086,0.7074542
4.181203365,0.1076355,0.6820757,0.07080092,0.7174971
4.201221466,0.1281369,0.6874087,0.09759598,0.7057993
4.221239090,0.1203788,0.6863717,0.0918138,0.7089434
4.241256714,0.1179607,0.681169,0.09371182,0.7141007
4.261274815,0.1153222,0.6805769,0.09268206,0.7152297
4.281292439,0.1210782,0.6859411,0.1017843,0.7078789
4.301310539,0.1151228,0.6879879,0.1003968,0.7070838
4.321328163,0.09218517,0.6839286,0.0778634,0.717153
4.341345310,0.09933789,0.6880563,0.09105444,0.7106667
4.361362934,0.1020586,0.6754844,0.09904141,0.7211958
4.381381035,0.1067671,0.6769782,0.1086614,0.7177197
4.401398659,0.1031689,0.6781242,0.1109339,0.7168159
4.421416283,0.1216556,0.5917932,0.1068505,0.7875187
4.441434383,0.1556071,0.3037256,0.05418389,0.9366022
4.461452007,0.1671845,0.02387357,-0.01629251,0.9837891
4.481469631,0.1678145,0.01222667,-0.02223623,0.9837795
4.501486778,0.1724677,0.04118229,-0.1014337,0.9771886
4.521504879,0.173994,0.05743733,-0.1403005,0.9712725
4.541522503,0.1728981,0.06615748,-0.2077892,0.958739
4.561540127,0.1708592,0.03813341,-0.1774803,0.9666857
4.581558228,0.172234,0.0507958,-0.1744765,0.966406
4.601575852,0.169422,0.04402609,-0.1923369,0.9638424
4.621593475,0.1711396,0.03827219,-0.1632601,0.9691337
4.641611576,0.1732285,0.04700264,-0.2099897,0.9593304
4.661628723,0.172042,0.03356886,-0.1828175,0.9656501
4.681646347,0.1748284,0.05336767,-0.1941587,0.962038
4.701663971,0.1735261,0.03980461,-0.1998193,0.9617712
4.721682072,0.175209,0.03662749,-0.1879323,0.9639862
4.741699696,0.1723485,0.02462817,-0.2132351,0.9596082
4.761717319,0.1714219,0.008916754,-0.1505654,0.97185
4.781735420,0.1742953,-0.004290082,-0.07345819,0.9802215
4.801753044,0.1749554,-0.001985908,-0.06710575,0.9805667
4.821770191,0.175634,-0.01272482,-0.02535055,0.9823318
4.841788292,0.174048,-0.1501615,-0.02161229,0.9712436
4.861805916,0.1658235,-0.461834,-0.08269247,0.8654457
4.881823540,0.148631,-0.6645756,-0.1289,0.7185127
4.901841640,0.1349604,-0.6708907,-0.1207894,0.7167488
4.921859264,0.1457357,-0.668402,-0.1322164,0.714945
4.941876888,0.1531609,-0.6702778,-0.1366182,0.7107972
4.961894989,0.144987,-0.6732314,-0.1281592,0.7112954
4.981912136,0.1546108,-0.6737439,-0.137201,0.7070844
5.001929760,0.1617073,-0.6772291,-0.1506722,0.6993833
5.021947384,0.1547355,-0.6889424,-0.1527327,0.6889962
5.041965485,0.137979,-0.6914041,-0.1308913,0.6945626
5.061983109,0.1369505,-0.6950572,-0.1373085,0.6898652
5.082000732,0.1325122,-0.7057611,-0.1378848,0.6796743
5.102018833,0.1318621,-0.7069448,-0.1433546,0.6774352
5.119534016,0.125462,-0.7063336,-0.1342739,0.6811391
5.139551640,0.133963,-0.7053549,-0.1402257,0.6793326
5.159569263,0.146558,-0.713673,-0.1613531,0.6631625
5.179587364,0.1372289,-0.7211866,-0.1607254,0.6571553
5.199604988,0.124609,-0.73136,-0.1603329,0.6484644
5.219622135,0.110778,-0.7398798,-0.1534612,0.6429492
5.239639759,0.1090207,-0.7436486,-0.1567042,0.6381008
5.259657860,0.07032834,-0.8379143,-0.1615164,0.5133111
5.279675484,0.02574996,-0.9628364,-0.1719126,0.1983712
5.299693108,0.0009820434,-0.9832311,-0.1670588,-0.04443853
5.319711208,0.006549798,-0.9828342,-0.1654233,-0.05706945
5.339728832,0.09877647,-0.9798834,-0.1542751,-0.05383874
5.359746933,0.1486986,-0.9754694,-0.1441831,-0.04675433
5.379763603,0.1796864,-0.9681878,-0.1457883,-0.07548834
5.399781704,0.1663833,-0.9696969,-0.1479762,-0.08206744
5.419799328,0.1816146,-0.9685618,-0.1454927,-0.06605657
5.439817429,0.165654,-0.969354,-0.1500888,-0.08374006
5.459835053,0.1487761,-0.9728649,-0.1486217,-0.07706324
5.479852677,0.177101,-0.9679972,-0.1420869,-0.08975151
5.499870777,0.1561728,-0.9717844,-0.1457058,-0.08150207
5.519887924,0.1901432,-0.9672179,-0.1382592,-0.07646631
5.539905548,0.1672896,-0.9697829,-0.1433553,-0.08724797
5.559923172,0.16625,-0.9707018,-0.1406515,-0.08332919
5.579941273,0.1741752,-0.9665685,-0.1408183,-0.1104823
5.599958897,0.1018801,-0.9768481,-0.1484914,-0.09982799
5.619976521,0.04429106,-0.9819543,-0.1504291,-0.08833157
5.639994621,0.03159692,-0.9828447,-0.1472724,-0.08919743
5.660011768,-0.011764,-0.9826559,-0.1484288,-0.09404999
5.680029392,-0.06114474,-0.9468341,-0.1370463,-0.2785806
5.700047016,-0.1025978,-0.80369,-0.09815537,-0.5749295
5.720065117,-0.119789,-0.6869504,-0.07777241,-0.7101612
5.740082741,-0.1254689,-0.6845839,-0.08539242,-0.7105899
5.760100365,-0.1069516,-0.6901508,-0.06884845,-0.7100288
5.780118465,-0.1058199,-0.6933624,-0.07327481,-0.7066181
5.800135612,-0.1186884,-0.6876825,-0.08562654,-0.7087325
5.820153236,-0.09455678,-0.6922787,-0.06369821,-0.7101966
5.840170860,-0.08755291,-0.6986873,-0.06114236,-0.7050248
