Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,93.16264,-44.00557,-1.644026,0.6062564,0.7756698,0.05885521,13.67198,29.51315,-11.33421,890.4867
0.020018101,-118.7358,28.04669,-1.034484,0.3930822,-0.3994924,-0.6887496,15.46189,29.11427,-11.3193,890.4884
0.040035725,110.5233,-35.91445,-0.3639875,0.4436858,0.5210052,-0.7461947,15.46189,29.11427,-11.3193,890.4884
0.060052872,128.6843,-8.983443,-9.141395,0.555195,-0.3129098,-0.2039483,15.46189,29.11427,-11.3193,890.4902
0.080070496,44.28196,49.01271,-0.3639875,-0.8274515,-0.4171062,-2.666567,12.90012,30.61202,-7.108655,890.4902
0.100088596,-44.24504,14.75837,1.891319,-0.6293483,-1.191032,-2.654506,12.90012,30.61202,-7.108655,890.492
0.120106220,-193.5343,36.37404,7.011473,0.1005444,0.2485411,-1.767887,18.71946,30.52974,-12.53037,890.492
0.140123844,-20.60501,35.37003,-1.644026,-1.070166,0.3942889,-1.761019,18.71946,30.52974,-12.53037,890.4937
0.160141945,46.80602,115.4543,-3.106927,1.082411,-0.2509152,-1.363739,18.71946,30.52974,-12.53037,890.4937
0.180159569,31.23069,-50.67926,-2.009751,0.6804364,0.03673327,-0.1427025,8.198189,32.83699,-7.144661,890.4955
0.200177193,57.33322,-16.54302,-8.897577,0.1131909,-0.5412714,-1.975365,8.198189,32.83699,-7.144661,890.4955
0.220195293,-58.09662,175.2813,0.4893716,1.685253,-0.2691564,-1.106994,19.1728,24.79153,-18.13961,890.5006
0.240212917,-66.83852,1934.538,26.1511,15.59564,-4.998732,-15.81227,19.1728,24.79153,-18.13961,890.5006
0.260230541,-236.3819,1934.538,123.5559,0.2705122,-0.2918184,-15.81935,19.1728,24.79153,-18.13961,890.4955
0.280248642,44.95914,-0.8923291,-12.79865,0.3929666,1.817859,1.54469,38.58216,19.88625,-57.28888,890.4955
0.300266266,-689.421,-347.9834,23.71293,-1.318548,4.41488,7.45939,38.58216,19.88625,-57.28888,890.4937
0.320283890,-162.9377,357.8925,27.55304,-0.3065676,-1.217098,-2.389971,-20.99824,24.75992,-15.88611,890.4937
0.340301991,-419.4074,-43.41497,16.09365,2.683509,-1.653968,0.9633769,-20.99824,24.75992,-15.88611,890.4937
0.360319138,3.958462,132.6996,27.97972,-1.218863,-0.9749098,-3.5811,-20.99824,24.75992,-15.88611,890.4937
0.380336762,262.0288,1.233803,-15.35872,-0.8553534,0.9329197,1.794974,-23.51227,8.487091,10.9174,890.497
0.400354385,-52.98693,96.55539,18.40991,0.732162,-3.41382,-2.561571,-23.51227,8.487091,10.9174,890.497
0.420372486,167.8381,8.498088,-2.619294,0.123524,-0.8520964,-0.1469063,-21.45006,16.02152,15.18557,890.497
0.440390110,-356.1827,-22.62613,3.415174,1.218427,-1.374352,2.653637,-21.45006,16.02152,15.18557,890.497
0.460408211,23.90474,-187.4604,-4.935554,-0.7810672,-1.127937,-2.111419,-6.428145,38.4088,11.58583,890.4988
0.480425835,340.8289,-83.6343,-28.64674,-0.7894935,-0.1705547,-0.2111591,-6.428145,38.4088,11.58583,890.4988
0.500443459,-4.721862,313.9524,26.63873,-4.175903,-2.157999,-3.514758,-6.428145,38.4088,11.58583,890.4988
0.520461559,385.708,91.88971,13.04594,1.161993,0.2582912,0.4180931,-21.12213,18.51128,18.61611,890.4988
0.540479183,-401.9852,-68.98762,9.57155,1.757322,0.7868502,7.498496,-21.12213,18.51128,18.61611,890.5006
0.560496807,300.9363,-43.41497,-12.98151,-2.074807,-2.266774,-5.031636,-11.46962,29.49396,14.06696,890.5006
0.580514908,460.5681,-49.67525,5.304755,-1.00829,0.8903355,-0.2904745,-11.46962,29.49396,14.06696,890.5006
0.600532532,-182.884,-170.7467,-0.242079,-0.5102221,1.314352,3.954825,-11.46962,29.49396,14.06696,890.5006
0.620550156,388.5399,-88.47716,-9.872846,-0.02332511,-0.7873657,-1.252176,-17.23488,25.24053,16.98956,890.5006
0.640567303,176.0874,213.3155,-0.1811248,0.842784,1.448014,0.4303683,-17.23488,25.24053,16.98956,890.5006
0.660585404,24.52036,1933.179,69.73337,9.785534,-0.7387141,-15.79445,-4.92521,34.80994,1.700021,890.4973
0.680603028,-248.6944,1934.538,89.6654,2.12916,0.9553966,-15.80344,-4.92521,34.80994,1.700021,890.4973
0.700620651,217.0881,-18.19668,-33.40117,2.235631,0.2115255,3.50175,-4.92521,34.80994,1.700021,890.4935
0.720638752,-205.9084,-37.56811,8.169603,0.9061727,0.5127783,-0.4274668,13.25572,10.90368,-39.19067,890.4935
0.740656376,80.85012,-4.554001,-1.765934,-0.2492653,0.5458506,-0.4412944,13.25572,10.90368,-39.19067,890.4902
0.760674000,135.7024,-54.45905,-9.141395,-0.2358902,0.09815747,-0.2691084,0.3961379,16.12179,-16.15367,890.4902
0.780692100,-100.4517,17.8885,9.876321,0.3164881,0.7524875,-0.8113296,0.3961379,16.12179,-16.15367,890.4935
0.800709724,-31.8094,-47.07664,-0.9735296,0.2370344,-0.3658046,-1.015041,0.3961379,16.12179,-16.15367,890.4935
0.820727825,-192.4262,108.9578,7.864832,0.4560969,-0.0003607348,-2.194502,13.6812,28.78041,-11.77149,890.4935
0.840745449,270.3397,-150.2531,-14.26155,0.7734188,0.6926786,0.5287401,13.6812,28.78041,-11.77149,890.4935
0.860763073,-62.09819,-11.99546,-5.60605,-0.1997993,-0.529688,0.2509453,16.57418,28.72742,-11.31041,890.4902
0.880781174,-5.460614,24.79843,0.1236463,-0.342448,0.5012814,-1.384982,16.57418,28.72742,-11.31041,890.4902
0.900798798,-10.63187,74.34912,-1.461163,-0.05903251,-0.6915901,-2.128825,16.57418,28.72742,-11.31041,890.4902
0.920815945,37.01757,42.10279,-3.350744,-0.650315,-1.289348,-3.041391,13.27548,30.23991,-7.541692,890.4902
0.940833569,10.97659,-32.90243,1.342731,-1.031422,0.01774857,-1.184284,13.27548,30.23991,-7.541692,890.4902
0.960851669,-194.3346,52.79251,5.182847,-0.5026236,0.4029919,-2.26168,18.34756,30.53467,-12.09829,890.492
0.980869293,24.4588,-10.51898,-5.667004,-1.030498,-0.663183,-2.72429,18.34756,30.53467,-12.09829,890.492
1.000886917,128.8074,208.6498,2.500861,-0.4440254,0.4087994,-1.805396,18.34756,30.53467,-12.09829,890.4937
1.020905018,61.6426,9.85645,-5.60605,0.7632492,0.1393559,-0.3976541,9.252344,32.08404,-7.137272,890.4937
1.040922642,-25.59158,0.7613293,0.4284174,0.8341956,-0.8710357,-2.224732,9.252344,32.08404,-7.137272,890.4937
1.060940266,12.70035,311.9444,12.86308,1.964444,-0.04845127,-1.775372,18.45046,24.44698,-20.69712,890.4937
1.080958366,126.0371,1934.538,63.69889,11.97852,1.273049,-15.52433,18.45046,24.44698,-20.69712,890.492
1.100975990,-161.9527,1934.538,120.6911,-2.457551,0.06801005,-15.82457,18.45046,24.44698,-20.69712,890.492
1.120993614,-16.78813,70.51028,-15.90731,0.9027933,1.907231,2.683247,44.25926,17.17712,-31.18432,890.4849
1.141011715,-814.5161,-242.6808,48.39939,2.811387,-0.3747391,3.512153,44.25926,17.17712,-31.18432,890.4849
1.161029339,-74.47227,-6.562015,13.04594,-3.197997,-1.041017,-2.159995,-10.17558,20.17984,-4.357264,890.4849
1.181046486,-311.6114,110.5524,15.30125,1.174147,-1.443577,-1.203768,-10.17558,20.17984,-4.357264,890.4849
1.201064110,142.8437,-51.32891,24.38342,-0.1979113,0.983142,0.04414601,-10.17558,20.17984,-4.357264,890.4816
1.221082211,254.5182,-4.317764,-25.35522,-0.878182,1.114969,0.7103732,-25.02131,11.75678,10.91271,890.4816
1.241099834,62.87386,189.2193,-4.569829,0.4215758,-0.3712216,2.075948,-25.02131,11.75678,10.91271,890.4816
1.261117935,-0.7818573,12.69129,7.864832,0.2562532,-1.018111,0.154547,-22.21865,18.17004,16.92604,890.4816
1.281135559,-258.6675,-119.0108,21.21381,2.673708,-2.494868,3.256006,-22.21865,18.17004,16.92604,890.4816
1.301153183,-48.36973,-32.31184,-2.680248,-2.114899,0.9425711,-0.6933864,-7.143691,35.91282,11.57272,890.4816
1.321171284,79.742,-117.1209,-27.30575,-1.439886,0.6911645,3.197076,-7.143691,35.91282,11.57272,890.4816
1.341188908,202.2516,146.4604,-0.1811248,-0.4465894,-0.7776131,-1.675609,-7.143691,35.91282,11.57272,890.4816
1.361206532,284.4376,5.427008,9.754413,-0.2822951,1.783248,3.059352,-21.13999,19.91557,19.4905,890.4816
1.381224632,31.23069,331.552,12.07067,-0.3535848,-0.7933366,0.2941954,-21.13999,19.91557,19.4905,890.4816
1.401242256,292.8716,61.00174,-2.619294,-2.218195,-1.384316,-3.022251,-12.50645,28.41099,14.05479,890.4834
1.421259403,633.559,49.42613,-1.765934,-0.3716236,1.013197,1.026043,-12.50645,28.41099,14.05479,890.4834
1.441277027,-14.81813,30.70436,8.108648,0.3716432,-2.529792,0.3810329,-12.50645,28.41099,14.05479,890.4851
1.461295128,274.8954,-61.90051,-2.985019,0.5760924,-0.5941111,0.516524,-16.49815,24.54797,18.67364,890.4851
1.481312752,157.6187,309.7001,10.36395,1.481572,1.682338,1.524617,-16.49815,24.54797,18.67364,890.4851
1.501330376,-42.64441,1934.538,58.33492,12.40733,0.6076307,-15.60537,-5.629574,31.58261,0.8764715,890.4851
1.521348477,-137.8817,1934.538,113.4985,-4.0948,-0.03465755,-15.83034,-5.629574,31.58261,0.8764715,890.4798
1.541366100,137.3646,222.4106,-12.18911,-0.6797867,1.329102,0.1745541,-5.629574,31.58261,0.8764715,890.4798
1.561383724,-183.7458,-0.4789145,8.779145,0.1842491,-0.07532568,-1.225848,6.648579,16.078,-33.63791,890.4798
1.581401825,-45.7841,68.1479,1.76941,-0.05027706,0.2390107,-0.6886593,6.648579,16.078,-33.63791,890.4798
1.601419449,95.25577,-33.90644,-6.398455,0.3415664,0.1501293,-0.08867324,1.446632,22.52947,-16.56244,890.4816
1.621437550,-103.4067,-18.6101,6.219068,0.06143008,0.247551,-0.9244955,1.446632,22.52947,-16.56244,890.4816
1.641455174,-105.8692,29.93659,5.609526,0.1971035,-0.0624986,-2.190964,1.446632,22.52947,-16.56244,890.4834
1.661472321,-110.1786,171.6787,6.462885,-0.04150131,-1.011664,-3.504916,14.04388,29.50822,-11.76629,890.4834
1.681489945,213.2713,2.769343,-9.019486,0.1007311,0.3167233,0.1018463,14.04388,29.50822,-11.76629,890.4851
1.701508045,-77.55041,-11.10958,1.76941,0.366738,-0.3054328,-0.3827218,16.56955,29.46342,-11.74386,890.4851
1.721525669,25.81318,129.6286,6.340977,0.9623691,0.9460889,-0.731936,16.56955,29.46342,-11.74386,890.4869
1.761561394,176.3337,-63.79041,1.098914,1.105607,0.3944219,-0.3592454,13.27665,29.8711,-7.107285,890.4887
1.781579018,42.68133,-143.7566,0.001737846,0.4560117,0.9378775,0.9390142,13.27665,29.8711,-7.107285,890.4887
1.801596641,-204.7387,20.25087,1.586547,-0.3511916,0.03644829,-1.925597,18.33578,31.57363,-11.72241,890.4923
1.821614742,44.77446,64.07281,3.476128,-1.122742,-0.432116,-2.172387,18.33578,31.57363,-11.72241,890.4923
1.841632366,-28.23877,153.3704,3.476128,-0.3569654,0.1177718,-2.477623,18.33578,31.57363,-11.72241,890.494
1.861649990,85.52888,62.24198,-4.874599,0.608196,0.5643646,-0.6062043,9.262737,30.98249,-7.140141,890.494
1.881668091,45.63633,-84.16584,-6.76418,0.08386552,-0.4169865,-1.234293,9.262737,30.98249,-7.140141,890.494
1.901685238,-55.26474,491.1891,29.44263,3.773297,0.08275585,-1.833103,20.28294,25.82011,-20.24168,890.4958
1.921702862,-52.55599,1934.36,61.19977,15.09074,2.271749,-15.66323,20.28294,25.82011,-20.24168,890.4958
1.941720486,-101.5598,1934.36,96.3094,-5.820437,0.3427598,-15.83241,20.28294,25.82011,-20.24168,890.4908
1.961738586,-131.4792,116.7536,-5.423187,0.5438843,0.2325003,0.7068562,23.60155,12.10675,-17.69879,890.4908
1.981756210,-659.3168,-44.71428,33.95324,0.8651062,-1.33114,0.5006604,23.60155,12.10675,-17.69879,890.489
2.001773834,-45.96879,-96.21392,10.91254,-0.5998974,0.1135215,-0.3807083,-33.01551,25.60237,-4.546649,890.489
2.021791935,-232.4418,146.6376,11.82686,0.8549492,-0.3349763,0.9354693,-33.01551,25.60237,-4.546649,890.4908
2.041809559,184.029,-2.014454,9.937275,-0.3597885,0.9776142,0.5470183,-33.01551,25.60237,-4.546649,890.4908
2.061827660,-6.753428,-85.76044,-11.70147,-1.454362,2.042537,3.30678,-23.5402,10.99316,11.73246,890.4908
2.081845284,-94.48012,133.7627,-2.802156,1.346506,0.09889832,5.307406,-23.5402,10.99316,11.73246,890.4908
2.101862907,245.961,50.90261,-1.522118,1.859925,-0.3635248,1.297207,-22.97691,19.95625,17.35946,890.4926
2.121880055,-382.5315,-19.14163,40.04866,2.994302,-0.5158508,4.759417,-22.97691,19.95625,17.35946,890.4926
2.141898155,163.7134,37.79146,4.695213,-1.29146,-0.02904871,-2.382126,-8.23002,33.79221,11.12193,890.4944
2.161915779,-388.3799,-293.4717,-17.67499,0.934963,1.838007,6.964125,-8.23002,33.79221,11.12193,890.4944
2.181933403,129.6693,-61.1918,4.634258,-1.287847,-1.079745,-4.278343,-8.23002,33.79221,11.12193,890.4961
2.201951504,-43.3216,5.072653,-3.960286,-0.3322631,0.9844656,0.8259144,-21.15267,21.0155,19.92874,890.4961
2.221969128,72.84698,320.2127,10.303,1.419658,0.1184598,3.353109,-21.15267,21.0155,19.92874,890.4946
2.241986752,339.3514,-61.13274,-8.775669,1.080121,-1.417393,0.180771,-12.86971,27.74437,14.04975,890.4946
2.262004852,450.6566,3.064639,-3.167881,0.2543189,1.791017,5.168371,-12.86971,27.74437,14.04975,890.4946
2.282022476,120.1886,124.9038,6.280022,-0.4795481,-0.4618441,-0.8928642,-12.86971,27.74437,14.04975,890.4946
2.299537659,303.7682,-22.44895,-9.568074,-1.137634,-1.314683,-2.585074,-17.62942,25.96868,20.40891,890.4946
2.319555283,91.62357,260.5629,20.84808,1.946017,2.037785,1.993229,-17.62942,25.96868,20.40891,890.4946
2.339573383,-54.52599,1934.479,66.25897,15.51641,0.04519296,-15.67991,-8.838388,28.10711,-3.453223,890.4946
2.359591007,-120.5211,1934.538,114.9614,-5.834208,0.4422966,-15.83162,-8.838388,28.10711,-3.453223,890.4946
2.379608631,131.2699,160.0441,-12.43292,-1.505438,0.9998674,-0.3016902,-8.838388,28.10711,-3.453223,890.4893
2.399626732,-181.9605,-26.87839,6.645748,0.6750639,0.01768,-0.5477259,9.512216,21.05597,-36.58447,890.4893
2.419644356,-44.12191,32.35801,0.9770054,0.03427426,-0.3530023,-1.50349,9.512216,21.05597,-36.58447,890.4893
2.439661980,177.1956,-14.1216,-10.7262,0.3154824,0.08903616,0.108336,4.336535,22.10465,-14.85842,890.4893
2.459680081,-186.2699,23.61725,11.09541,-0.07503425,0.6566229,-1.135054,4.336535,22.10465,-14.85842,890.4893
2.479697228,-86.35385,24.14878,4.999984,0.2431251,-0.4858029,-2.782281,4.336535,22.10465,-14.85842,890.4893
2.499714851,-76.38071,218.8671,6.401931,-0.3303762,-1.056322,-3.041398,13.3093,28.78534,-11.33941,890.4878
2.519732952,213.2713,10.5061,-5.17937,0.05536884,0.4571405,-0.07829487,13.3093,28.78534,-11.33941,890.4878
2.539750576,-73.73352,-40.34389,3.415174,0.6165674,-0.2599042,-0.0627387,16.93569,29.82404,-11.73962,890.4895
2.559768200,28.82974,106.0049,7.621015,0.489638,1.114514,-0.7677125,16.93569,29.82404,-11.73962,890.4895
2.579786301,-43.56785,80.49128,3.110403,-1.409175,-1.522703,-2.612252,16.93569,29.82404,-11.73962,890.4914
2.599803925,142.7205,53.26498,5.365709,0.95101,0.4684253,-0.7016249,13.27436,29.86947,-6.671921,890.4914
2.619821549,44.83602,-133.9528,-5.545096,0.4477848,0.9083028,1.721872,13.27436,29.86947,-6.671921,890.4914
2.639839649,-206.7087,30.35,5.975251,-0.2141477,0.1350208,-2.159645,18.33775,31.57502,-12.09558,890.4914
2.659857273,34.06256,2.296869,-0.1201706,-1.072448,-0.16132,-1.911528,18.33775,31.57502,-12.09558,890.4914
2.679874420,37.01757,133.3493,1.220822,-0.4317103,-0.2792616,-2.220255,18.33775,31.57502,-12.09558,890.4914
2.699892044,104.6133,46.11881,-5.484142,0.02166748,0.2843422,-1.219493,9.638698,30.30276,-7.138612,890.4914
2.719910145,97.53358,-78.67333,-7.007997,-0.3780348,-0.284339,-0.479476,9.638698,30.30276,-7.138612,890.4914
2.739927769,-153.8264,607.9492,46.5098,5.277744,-0.3326094,-2.403544,21.35143,24.76931,-22.41191,890.4914
2.759945393,-100.4517,1934.42,68.51428,16.01722,-0.2704209,-15.72546,21.35143,24.76931,-22.41191,890.4914
2.779963493,-109.3167,1931.23,79.6689,-5.279274,-0.3520691,-15.83653,21.35143,24.76931,-22.41191,890.4914
2.799981117,-142.6836,70.68745,-6.520363,-0.2059779,-0.7375096,1.083543,28.37353,25.78133,-47.53684,890.4794
2.819998741,-696.1928,-103.4191,40.35343,2.193323,-2.002686,1.597692,28.37353,25.78133,-47.53684,890.4794
2.840016842,-110.117,-93.14284,9.876321,-0.6298185,0.03599447,0.5973484,-41.34085,28.63895,-8.033744,890.4812
2.860034466,-247.6478,210.9531,13.59453,0.2198892,-1.524414,-1.805883,-41.34085,28.63895,-8.033744,890.4812
2.880052090,78.44918,23.02666,7.25529,0.7575288,0.259627,-0.1923181,-41.34085,28.63895,-8.033744,890.483
2.900069237,92.2392,-155.6275,-17.67499,-1.64517,2.344057,2.836701,-22.13375,12.06958,11.74792,890.483
2.920087337,114.5249,185.1442,0.4284174,-0.3895739,-1.327482,-0.7181119,-22.13375,12.06958,11.74792,890.483
2.940104961,219.6738,-7.152607,-10.90907,-0.7590112,-0.7404377,-2.028913,-22.63116,21.78097,18.61142,890.483
2.960123062,-464.2866,54.09181,34.74564,2.941961,0.2215331,5.509844,-22.63116,21.78097,18.61142,890.4812
2.980140686,71.73886,127.1481,12.31449,-0.02826658,-0.1481649,-0.006744081,-22.63116,21.78097,18.61142,890.4812
3.000158310,-268.8869,-196.969,-3.167881,-3.480348,6.420767,11.42621,-8.581923,31.22383,12.35585,890.483
3.020176411,78.88012,-75.42507,-22.1856,-0.8669533,-1.249607,-2.969729,-8.581923,31.22383,12.35585,890.483
3.040194035,187.4765,-9.869331,0.3674631,-0.4002897,2.040429,2.215195,-20.80439,22.78042,20.80737,890.4816
3.060211658,-112.7026,464.14,44.55927,-2.030899,-4.142408,-7.345693,-20.80439,22.78042,20.80737,890.4816
3.080228806,451.8262,-12.88135,-21.45415,1.082894,-0.9941255,1.256798,-12.85932,26.64282,14.04689,890.4816
3.100246906,378.1974,71.80958,1.647502,0.9085729,1.181794,1.618754,-12.85932,26.64282,14.04689,890.4816
3.120264530,134.4711,97.91376,4.268533,0.7644629,-1.03854,0.2539775,-12.85932,26.64282,14.04689,890.4816
3.140282154,313.5567,-39.69424,2.683723,-0.1226557,1.502434,1.757447,-16.51712,25.58182,20.4178,890.4816
3.160300255,-9.277494,577.4746,32.61224,5.210997,-0.2824279,1.119054,-16.51712,25.58182,20.4178,890.4833
3.180317879,-31.25533,1934.42,78.26695,16.01638,0.7669277,-15.76326,-8.074895,28.41926,-8.608034,890.4833
3.200335503,-89.00105,1913.808,78.206,-9.443108,-1.35961,-15.85739,-8.074895,28.41926,-8.608034,890.4761
3.220353603,38.00257,65.37212,-4.44792,-1.928175,0.3846674,-1.136596,-8.074895,28.41926,-8.608034,890.4761
3.240371227,-185.839,59.11184,9.57155,0.5939016,-0.1018308,-1.268316,15.39465,13.37917,-40.40888,890.4744
3.260388851,39.29539,-17.07456,-5.240324,0.4788382,-0.218052,-0.1787534,15.39465,13.37917,-40.40888,890.4744
3.280405998,84.91325,-66.44807,-2.680248,-0.04421544,0.3867335,0.6996022,5.076349,21.78392,-14.41728,890.4761
3.300424099,-196.6124,33.30296,9.388687,-0.1167894,-0.0481402,-2.523688,5.076349,21.78392,-14.41728,890.4761
3.320441723,-8.661869,37.25993,2.622769,-0.06822704,-0.5202184,-1.499869,5.076349,21.78392,-14.41728,890.4729
3.340459347,-37.35003,223.828,9.754413,-0.9225482,-1.164576,-5.214222,13.67891,28.77878,-11.33612,890.4729
3.360477448,181.8128,-61.13274,-2.802156,0.1973621,0.3956557,0.5820394,13.67891,28.77878,-11.33612,890.4747
3.380495071,-74.90321,55.45017,0.2455547,0.3578342,-0.161364,-1.227971,16.55457,30.56172,-10.87026,890.4747
3.400513172,-24.11408,113.2101,8.108648,-0.04807807,1.094044,-1.514943,16.55457,30.56172,-10.87026,890.4783
3.420530796,42.31195,-7.152607,-2.253568,-0.444663,-1.402391,-1.614591,16.55457,30.56172,-10.87026,890.4783
3.440548420,148.6921,-8.274732,3.476128,-0.3389138,0.771723,-0.8455089,13.64973,29.49736,-7.104959,890.48
3.460565567,1.865334,-59.24284,-1.217347,1.057616,1.054881,1.319103,13.64973,29.49736,-7.104959,890.48
3.480583668,-226.2856,59.4662,9.083917,-0.003277743,-0.4461942,-2.337263,18.69579,33.03883,-12.52383,890.4818
3.500601292,85.22106,-98.75346,-5.118416,0.4839014,-0.1506255,-2.039134,18.69579,33.03883,-12.52383,890.4818
3.520618916,74.81699,203.6888,-2.13166,-0.993996,0.09317037,-2.308719,18.69579,33.03883,-12.52383,890.4836
3.540637016,11.40753,74.17194,-1.461163,0.05474705,0.7144768,-0.5670093,10.38484,29.55528,-7.133959,890.4836
